case_number,latitude,longitude,cluster
JK239002,41.760162,-87.58352,0
JK244211,41.87251,-87.66476,0
JK235666,41.891968,-87.76053,0
JK235683,41.75238,-87.634346,0
JK236908,41.958797,-87.7555,0
JK235665,41.85574,-87.72362,0
JK235757,41.747196,-87.60264,0
JK235652,41.910007,-87.67689,0
JK235639,41.808582,-87.619576,0
JK235916,41.900505,-87.69929,0
JK235658,41.873466,-87.70345,0
JK235625,41.94654,-87.736084,0
JK235838,41.891403,-87.74434,0
JK236661,41.90734,-87.695694,0
JK236842,41.88186,-87.72409,0
JK235668,41.708252,-87.62835,0
JK235669,41.695843,-87.61224,0
JK238726,41.858345,-87.72118,0
JK235586,41.844196,-87.728645,0
JK235607,41.690056,-87.60594,0
JK235593,41.871338,-87.62592,0
JK235570,41.88236,-87.75584,0
JK235617,41.72194,-87.57899,0
JK235585,41.76418,-87.66501,0
JK235976,41.953224,-87.671455,0
JK235874,41.75138,-87.701225,4
JK235576,41.89726,-87.671745,0
JK235579,41.871834,-87.70942,0
JK235856,41.882114,-87.63236,0
JK240667,41.95415,-87.74054,0
JK235581,41.862865,-87.71419,0
JK236692,41.999245,-87.70746,0
JK235616,41.775475,-87.649536,0
JK235642,41.746212,-87.63541,0
JK236073,41.815834,-87.62138,0
JK235532,41.91146,-87.766815,0
JK235533,41.880783,-87.62672,0
JK235523,41.8543,-87.62282,0
JK235636,41.873466,-87.70345,0
JK235536,41.87297,-87.68701,0
JK235704,41.74566,-87.56614,0
JK235563,41.811188,-87.74971,5
JK236155,41.824547,-87.63318,0
JK237705,41.75907,-87.632065,0
JK235560,41.744614,-87.55464,0
JK235509,41.771713,-87.6543,0
JK235571,41.75024,-87.67235,0
JK235590,41.954884,-87.66907,0
JK235788,41.946648,-87.70209,0
JK235774,41.98288,-87.79144,-1
JK235530,41.737957,-87.60122,0
JK235516,41.886795,-87.648026,0
JK235492,41.82864,-87.66852,0
JK235497,41.712833,-87.5389,2
JK235656,41.8737,-87.704704,0
JK236764,41.867535,-87.70326,0
JK235473,41.695988,-87.59665,0
JK235469,41.94524,-87.71267,0
JK244216,41.930893,-87.64402,0
JK236430,41.749702,-87.713135,-1
JK235633,41.927933,-87.64507,0
JK236925,41.802505,-87.66846,0
JK239267,41.88956,-87.62019,0
JK237011,41.830997,-87.62749,0
JK236279,41.788704,-87.5964,0
JK236147,41.956844,-87.68229,0
JK235514,41.884964,-87.62792,0
JK235510,41.867535,-87.70326,0
JK235764,41.98288,-87.79144,-1
JK235460,41.808292,-87.62281,0
JK235453,41.92151,-87.671036,0
JK235482,41.694363,-87.626564,0
JK235436,41.871536,-87.70339,0
JK238204,41.96573,-87.650024,0
JK235515,41.75412,-87.70746,4
JK235531,41.762436,-87.71114,-1
JK235499,41.779877,-87.70434,0
JK243035,41.74546,-87.69495,-1
JK235431,41.88172,-87.62436,0
JK236346,41.91244,-87.66848,0
JK235420,41.79688,-87.67317,0
JK237744,41.762222,-87.66111,0
JK243525,41.974533,-87.77942,-1
JK238225,41.75673,-87.56001,0
JK235439,41.783318,-87.593124,0
JK235442,41.783318,-87.593124,0
JK235392,41.908546,-87.765884,0
JK235383,41.892883,-87.76891,0
JK236325,41.773373,-87.58312,0
JK235405,41.783955,-87.70328,0
JK235483,41.794674,-87.62357,0
JK235395,41.703003,-87.61853,0
JK235350,41.870037,-87.742455,0
JK235384,41.812412,-87.62129,0
JK235878,41.89279,-87.70401,0
JK237283,41.89347,-87.632645,0
JK235377,41.882557,-87.73063,0
JK235400,41.77615,-87.615524,0
JK235357,41.815575,-87.69246,0
JK235525,41.685387,-87.61646,0
JK235451,41.74532,-87.6038,0
JK235789,41.722095,-87.6627,0
JK235821,41.83981,-87.61714,0
JK235351,41.89962,-87.71645,0
JK235313,41.745956,-87.54793,0
JK238276,41.79562,-87.620865,0
JK236089,41.725513,-87.61598,0
JK235406,41.778732,-87.68485,0
JK241503,41.88756,-87.61749,0
JK235837,41.99759,-87.69795,0
JK235329,41.894146,-87.7175,0
JK235488,41.81757,-87.665184,0
JK235319,41.813198,-87.699265,0
JK235274,41.82564,-87.61756,0
JK235323,41.848164,-87.70331,0
JK235494,41.925354,-87.737404,0
JK235435,41.899975,-87.71646,0
JK235520,41.901493,-87.72018,0
JK235283,41.736256,-87.628204,0
JK235269,41.797153,-87.67318,0
JK235314,41.98872,-87.66838,0
JK235270,41.76119,-87.63335,0
JK235291,41.8468,-87.62353,0
JK235294,41.705677,-87.600945,0
JK235256,41.942196,-87.68825,0
JK235304,41.889908,-87.6241,0
JK235645,41.936337,-87.65071,0
JK235259,41.859905,-87.72621,0
JK235541,41.825195,-87.61702,0
JK235331,41.889187,-87.65457,0
JK235299,41.82815,-87.66668,0
JK236153,41.784588,-87.65341,0
JK235766,41.854893,-87.67102,0
JK235249,41.818172,-87.63476,0
JK235566,41.893837,-87.760605,0
JK235235,41.923977,-87.7663,0
JK235232,41.808426,-87.68504,0
JK235240,41.915993,-87.74842,0
JK235271,41.808426,-87.68504,0
JK235393,41.89551,-87.71065,0
JK236300,41.795975,-87.76068,-1
JK235229,41.94732,-87.64979,0
JK235293,41.898,-87.7164,0
JK236688,41.95179,-87.65204,0
JK235264,41.89716,-87.635704,0
JK235268,41.897396,-87.636185,0
JK235315,41.912197,-87.7631,0
JK235650,41.89779,-87.68689,0
JK235224,41.77557,-87.65076,0
JK237411,41.81804,-87.59811,0
JK235226,41.903225,-87.749504,0
JK235230,41.85382,-87.627106,0
JK235228,41.74366,-87.55408,0
JK235362,41.79329,-87.66093,0
JK235227,41.93385,-87.76388,0
JK235424,41.803535,-87.74183,5
JK235239,41.87346,-87.723206,0
JK235220,41.877182,-87.681435,0
JK235217,41.97639,-87.65544,0
JK235719,41.828426,-87.64361,0
JK235282,41.79991,-87.74295,0
JK235663,41.863464,-87.65223,0
JK235746,41.778748,-87.65569,0
JK235643,41.870472,-87.74362,0
JK235753,41.863464,-87.65223,0
JK235287,41.97043,-87.65625,0
JK235251,41.791187,-87.69617,0
JK235218,41.788986,-87.74148,0
JK235742,41.931133,-87.67168,0
JK235212,41.68041,-87.660255,0
JK235412,41.874126,-87.63362,0
JK235214,41.964382,-87.881134,-1
JK236664,41.748203,-87.65489,0
JK236981,41.69399,-87.658035,0
JK235211,41.874363,-87.64301,0
JK235221,41.72885,-87.554115,0
JK235477,41.83495,-87.66806,0
JK235772,41.743942,-87.60663,0
JK235203,41.756813,-87.55542,0
JK235210,41.84961,-87.6406,0
JK235205,41.88802,-87.62544,0
JK235197,41.909454,-87.75945,0
JK235332,41.877567,-87.642525,0
JK235906,41.972187,-87.66953,0
JK235367,41.89951,-87.72254,0
JK235973,41.89445,-87.62972,0
JK235195,41.89212,-87.685875,0
JK235213,41.795147,-87.671906,0
JK235194,41.892666,-87.72356,0
JK235204,41.83413,-87.66875,0
JK235193,41.765285,-87.57709,0
JK235429,41.834126,-87.669044,0
JK235192,41.788303,-87.62554,0
JK235692,41.76782,-87.66147,0
JK236139,41.951637,-87.667435,0
JK235238,41.828236,-87.64117,0
JK235556,41.834736,-87.66699,0
JK235942,41.874905,-87.694565,0
JK235565,41.92729,-87.704506,0
JK235187,41.895733,-87.68778,0
JK235188,41.77694,-87.67384,0
JK235186,41.98088,-87.65511,0
JK235191,41.86615,-87.72681,0
JK235180,41.730556,-87.588,0
JK235177,41.75649,-87.56632,0
JK235364,41.831844,-87.66676,0
JK235179,41.769043,-87.57149,0
JK235178,41.718822,-87.64314,0
JK235170,41.878426,-87.758644,0
JK240097,41.87165,-87.66503,0
JK235160,41.884777,-87.752785,0
JK237983,41.731544,-87.65443,0
JK236424,41.926483,-87.76851,0
JK235318,41.9088,-87.72163,0
JK235181,41.767807,-87.68577,0
JK236887,41.763237,-87.5598,0
JK235301,41.863003,-87.650925,0
JK235162,41.86854,-87.63924,0
JK235163,41.89569,-87.6273,0
JK235166,41.87516,-87.66773,0
JK235185,41.81996,-87.70057,0
JK235152,41.7933,-87.664566,0
JK235156,41.721264,-87.65873,0
JK235168,41.78304,-87.60725,0
JK235161,41.844074,-87.62844,0
JK235381,41.908806,-87.72285,0
JK235171,41.731903,-87.59046,0
JK235423,41.89777,-87.71517,0
JK235148,41.910725,-87.678,0
JK235150,41.974438,-87.81119,-1
JK235920,41.93742,-87.73294,0
JK235773,41.747684,-87.59993,0
JK235366,41.736446,-87.558334,0
JK236676,41.959354,-87.70981,0
JK235919,41.769833,-87.66638,0
JK235376,41.787384,-87.691185,0
JK236921,41.878193,-87.68878,0
JK235307,41.68828,-87.61815,0
JK238428,41.86132,-87.704216,0
JK237769,41.769924,-87.63727,0
JK244103,41.986427,-87.6567,0
JK237829,41.969326,-87.65482,0
JK237164,41.888165,-87.62294,0
JK235199,41.73853,-87.601,0
JK235135,41.728836,-87.60464,0
JK235151,41.740192,-87.66804,0
JK235159,41.967796,-87.65621,0
JK235657,41.926113,-87.669395,0
JK235290,41.89643,-87.715126,0
JK235128,41.78249,-87.65828,0
JK235121,41.744762,-87.5437,0
JK235137,41.716953,-87.65603,0
JK235141,41.774334,-87.607056,0
JK239246,41.839466,-87.62324,0
JK235155,41.90317,-87.678345,0
JK235172,41.901855,-87.699326,0
JK235110,41.749744,-87.652504,0
JK235113,41.803947,-87.674576,0
JK235106,41.75313,-87.65703,0
JK235107,41.92245,-87.63221,0
JK236319,41.93084,-87.6964,0
JK235613,41.714363,-87.61759,0
JK236043,41.872192,-87.63104,0
JK235416,41.734806,-87.6063,0
JK235134,41.71311,-87.63087,0
JK235158,41.80803,-87.68442,0
JK235278,41.67973,-87.63267,0
JK235646,41.73294,-87.60863,0
JK235370,41.85845,-87.70666,0
JK235142,41.76348,-87.56647,0
JK235092,41.898254,-87.71109,0
JK235104,41.76418,-87.66501,0
JK235102,41.81235,-87.62617,0
JK235086,41.997227,-87.65844,0
JK235446,41.86644,-87.70235,0
JK235372,41.76807,-87.616936,0
JK242972,41.707016,-87.537704,2
JK235374,41.898006,-87.726166,0
JK235136,41.773144,-87.634865,0
JK235404,41.942257,-87.66995,0
JK235234,41.929855,-87.73524,0
JK235143,41.910564,-87.72636,0
JK235298,41.73612,-87.57691,0
JK235085,41.98562,-87.70167,0
JK235182,41.763885,-87.66622,0
JK235202,41.76923,-87.569855,0
JK235132,41.76923,-87.569855,0
JK235090,41.746693,-87.66495,0
JK235100,41.86549,-87.772026,-1
JK235075,41.844505,-87.705864,0
JK235084,41.775196,-87.648315,0
JK235068,41.713825,-87.53528,2
JK235628,41.76883,-87.61856,0
JK235588,41.69865,-87.53528,2
JK235337,41.70229,-87.66912,-1
JK236081,41.854984,-87.67164,0
JK235277,41.715855,-87.61762,0
JK235603,41.899845,-87.72256,0
JK235375,41.876274,-87.67176,0
JK235472,41.892437,-87.71256,0
JK237302,41.922768,-87.71755,0
JK235219,41.99884,-87.66676,0
JK235542,41.883106,-87.77189,0
JK235098,41.844063,-87.705025,0
JK235316,41.732384,-87.602165,0
JK235758,41.984623,-87.83658,-1
JK235154,41.738396,-87.55267,0
JK235476,41.950653,-87.66815,0
JK235062,41.872784,-87.726166,0
JK235079,41.768417,-87.61291,0
JK235081,41.70386,-87.66894,-1
JK235071,41.895424,-87.72035,0
JK235756,41.89567,-87.62882,0
JK235065,41.987206,-87.72855,-1
JK235444,41.83555,-87.66685,0
JK235401,41.72141,-87.64727,0
JK235124,41.858086,-87.722435,0
JK235049,41.77336,-87.6407,0
JK235077,41.854065,-87.634415,0
JK235481,41.899475,-87.72621,0
JK235041,41.74498,-87.657555,0
JK235038,41.798,-87.677315,0
JK235037,41.750187,-87.64403,0
JK235046,41.750782,-87.62582,0
JK235486,41.833214,-87.66895,0
JK235413,41.673325,-87.634544,0
JK235382,41.73351,-87.604744,0
JK235263,41.754955,-87.56266,0
JK235117,41.82132,-87.62478,0
JK235832,41.792683,-87.7305,0
JK235465,41.87199,-87.69431,0
JK235325,41.687294,-87.68961,-1
JK235253,41.862537,-87.65219,0
JK235784,41.899532,-87.67819,0
JK235543,41.836502,-87.66766,0
JK235528,41.990623,-87.747116,-1
JK235794,41.908764,-87.72163,0
JK235880,41.845287,-87.62212,0
JK235433,41.87304,-87.73276,0
JK235026,41.925358,-87.71078,0
JK235054,41.96777,-87.66942,0
JK235020,41.872627,-87.72674,0
JK235040,41.855576,-87.71189,0
JK236374,41.88756,-87.61749,0
JK235053,41.8879,-87.6369,0
JK235029,41.888657,-87.74917,0
JK235024,41.852882,-87.63553,0
JK235033,41.79175,-87.58014,0
JK235044,41.747814,-87.54919,0
JK238706,41.908295,-87.68229,0
JK235096,41.782093,-87.659424,0
JK235047,41.74423,-87.64385,0
JK235030,41.894157,-87.673225,0
JK235048,41.954067,-87.75594,0
JK235022,41.78245,-87.672775,0
JK235014,41.73966,-87.646935,0
JK235034,41.692486,-87.63158,0
JK234993,41.851074,-87.70645,0
JK234991,41.77518,-87.66657,0
JK235866,41.87886,-87.72622,0
JK235538,41.706486,-87.61497,0
JK235025,41.96243,-87.76088,0
JK235165,41.762173,-87.57621,0
JK237136,41.91906,-87.78653,0
JK236119,41.729275,-87.54848,0
JK236101,41.766197,-87.64687,0
JK235255,41.95454,-87.667534,0
JK235042,41.78427,-87.67282,0
JK236301,41.889984,-87.65776,0
JK236180,41.848804,-87.718575,0
JK235017,41.685387,-87.61646,0
JK236029,41.89248,-87.66314,0
JK235005,41.908432,-87.63851,0
JK237066,41.858017,-87.651764,0
JK234984,41.880512,-87.74414,0
JK234972,41.750492,-87.654305,0
JK234986,41.79857,-87.74353,0
JK234989,41.939316,-87.74688,0
JK234947,41.792755,-87.666985,0
JK234967,41.859837,-87.70297,0
JK235368,41.933582,-87.645515,0
JK234983,41.69017,-87.63506,0
JK235548,41.72159,-87.63364,0
JK235101,41.94663,-87.708336,0
JK236059,41.914093,-87.719124,0
JK234990,41.699337,-87.6172,0
JK234976,41.938835,-87.74607,0
JK234964,41.66885,-87.62929,0
JK236154,41.90481,-87.75584,0
JK234969,41.79949,-87.5935,0
JK234948,41.77122,-87.67007,0
JK235438,41.9224,-87.74784,0
JK236633,41.77943,-87.66595,0
JK241767,41.966393,-87.65354,0
JK235289,41.726364,-87.55566,0
JK238253,41.824753,-87.62163,0
JK235089,41.83089,-87.635506,0
JK235252,41.89004,-87.686676,0
JK234913,41.903725,-87.73372,0
JK234928,41.93827,-87.71245,0
JK234926,41.777378,-87.797264,-1
