case_number,latitude,longitude,cluster
JK236263,41.881916,-87.73663,7
JK236302,41.92166,-87.679,2
JK236620,41.739815,-87.5782,0
JK236827,41.999916,-87.66972,2
JK236202,41.82729,-87.63172,6
JK236184,41.709103,-87.53408,0
JK236187,41.794174,-87.703575,1
JK236204,41.892265,-87.746124,7
JK236173,41.871124,-87.68973,7
JK236258,41.74471,-87.59533,0
JK237206,41.891567,-87.6757,5
JK236172,41.729504,-87.65923,4
JK236171,41.764748,-87.6444,6
JK236143,41.910583,-87.72636,7
JK237076,41.803673,-87.70385,1
JK236991,41.97537,-87.744026,3
JK237111,41.89109,-87.76585,7
JK236545,41.803204,-87.72712,1
JK236233,41.92965,-87.71468,2
JK237835,41.93756,-87.69861,2
JK236492,41.93637,-87.75415,3
JK236262,41.75442,-87.63505,6
JK236610,41.812492,-87.60396,6
JK236150,41.75899,-87.56607,0
JK236240,41.89846,-87.68765,7
JK236194,41.761135,-87.6309,6
JK236106,41.851425,-87.73273,7
JK241771,41.746372,-87.74126,1
JK236104,41.695507,-87.63763,4
JK236122,41.877674,-87.62766,5
JK236360,41.751728,-87.64892,4
JK236140,41.96138,-87.65474,2
JK236312,41.695507,-87.63763,4
JK240171,41.877594,-87.642525,5
JK236093,41.836384,-87.66571,5
JK236131,41.95318,-87.76731,3
JK236195,41.87418,-87.667854,5
JK236097,41.978992,-87.65994,2
JK236068,41.881886,-87.64006,5
JK236071,41.76478,-87.67642,1
JK236884,41.929546,-87.70737,2
JK236132,41.76622,-87.578606,0
JK236100,41.76478,-87.67642,1
JK236703,41.86359,-87.70307,7
JK236105,41.938965,-87.68319,2
JK236156,41.932014,-87.64094,2
JK237875,41.882366,-87.667564,5
JK236274,41.765617,-87.6197,6
JK236082,41.89556,-87.654366,5
JK237281,41.910072,-87.65311,5
JK236109,41.80861,-87.62282,6
JK240520,41.971146,-87.70733,2
JK237280,41.910072,-87.65311,5
JK236291,41.864494,-87.63916,5
JK238697,41.92608,-87.64965,2
JK236817,41.78411,-87.68865,1
JK236446,41.883217,-87.628426,5
JK236055,41.95344,-87.74496,3
JK237884,41.91366,-87.655045,5
JK236033,41.88656,-87.716064,7
JK236026,41.968765,-87.68866,2
JK236039,41.889416,-87.631065,5
JK236010,41.930458,-87.64375,2
JK236245,41.796665,-87.66587,1
JK236030,41.90802,-87.76586,3
JK236067,41.717793,-87.56986,0
JK238318,41.89941,-87.62413,5
JK236062,41.79063,-87.60373,6
JK235982,41.879093,-87.72562,7
JK239793,41.742588,-87.64867,4
JK236113,41.89325,-87.67943,5
JK236066,41.75158,-87.57812,0
JK240275,41.71096,-87.535286,0
JK236028,41.86681,-87.62582,5
JK244589,41.81257,-87.60738,6
JK238376,41.683807,-87.68091,4
JK236137,41.945053,-87.676834,2
JK236017,41.922535,-87.7851,3
JK236045,41.753056,-87.60845,0
JK235984,41.698933,-87.60732,4
JK236060,41.744358,-87.54668,0
JK237088,41.938747,-87.6565,2
JK236074,41.747387,-87.585884,0
JK236047,41.938595,-87.649574,2
JK236205,41.744503,-87.651146,4
JK235996,41.910862,-87.6516,5
JK235972,41.710087,-87.6417,4
JK236914,41.929546,-87.70737,2
JK236414,41.881855,-87.75634,7
JK236253,41.993225,-87.656906,2
JK240459,41.874187,-87.73887,7
JK236046,41.79451,-87.60622,6
JK238637,41.777992,-87.764755,1
JK235983,41.80272,-87.60642,6
JK236008,41.93556,-87.77004,3
JK236663,41.760067,-87.55666,0
JK236015,41.879955,-87.68004,5
JK236941,41.722893,-87.6384,4
JK236192,41.775288,-87.63776,6
JK240393,41.960495,-87.65292,2
JK240401,41.76315,-87.57623,0
JK235946,41.750225,-87.59546,0
JK242886,41.93162,-87.73985,3
JK237113,41.886658,-87.62796,5
JK241837,41.7772,-87.69985,1
JK236040,41.953472,-87.74355,3
JK235977,41.864544,-87.68598,7
JK235948,41.7487,-87.60638,0
JK235899,41.86011,-87.72621,7
JK236054,41.896713,-87.62534,5
JK235885,41.886326,-87.76176,7
JK237858,41.79919,-87.75516,1
JK237437,41.770042,-87.63727,6
JK236019,41.87804,-87.63994,5
JK235903,41.77709,-87.66542,1
JK235895,41.81088,-87.66627,1
JK235949,41.706238,-87.642815,4
JK235875,41.849865,-87.71328,7
JK235868,41.89572,-87.76785,3
JK236163,41.928772,-87.70656,2
JK236056,41.808636,-87.64553,6
JK235985,41.768356,-87.619576,6
JK235975,41.993614,-87.65692,2
JK235871,41.90512,-87.76576,3
JK236669,41.875233,-87.62762,5
JK235882,41.776833,-87.68358,1
JK235932,41.768356,-87.619576,6
JK235857,41.73421,-87.64664,4
JK235905,41.8664,-87.70597,7
JK235967,41.95344,-87.74496,3
JK235833,41.877426,-87.696945,7
JK236547,41.79267,-87.76549,1
JK236185,41.75412,-87.70746,1
JK235910,41.742985,-87.61471,0
JK235937,41.79437,-87.64149,6
JK236939,41.86854,-87.63924,5
JK235852,41.735855,-87.65874,4
JK235889,41.75223,-87.61132,0
JK236179,41.9344,-87.65735,2
JK236376,41.832138,-87.61698,6
JK236794,41.664753,-87.62703,4
JK235894,41.930897,-87.697586,2
JK235802,41.90193,-87.710594,7
JK238254,41.954884,-87.66907,2
