case_number,latitude,longitude,cluster
JK235491,41.891838,-87.759224,0
JK219075,41.785957,-87.80127,3
JK243066,41.947235,-87.655014,1
JK201642,41.992786,-87.688515,1
JK156770,41.880936,-87.709335,4
JK166131,41.654503,-87.605896,6
JK232459,41.688145,-87.64468,6
JK175550,41.859097,-87.70429,4
JK172522,41.891747,-87.62345,2
JK203818,41.73586,-87.62415,6
JK161258,41.888702,-87.64757,4
JK222075,41.762337,-87.65162,5
JK171654,41.8809,-87.71222,4
JK204752,41.818405,-87.61876,2
JK213078,41.92449,-87.725945,0
JK203911,41.88093,-87.709564,4
JK160500,41.84829,-87.693504,4
JK181696,41.72293,-87.53735,7
JK206564,41.77962,-87.60287,5
JK192205,41.843983,-87.62692,2
JK200864,41.878555,-87.664345,4
JK160184,41.75617,-87.567535,7
JK155471,41.837204,-87.70606,4
JK182681,41.936897,-87.64916,1
JK208046,41.89448,-87.70653,0
JK193578,41.92862,-87.739845,0
JK166689,41.79058,-87.71687,3
JK194683,41.79921,-87.58551,5
JK158905,41.863857,-87.70681,4
JK192078,41.939114,-87.72557,0
JK180593,41.979954,-87.77567,0
JK217493,41.87319,-87.74347,4
JK141063,41.820915,-87.698364,3
JK235141,41.774334,-87.607056,5
JK233912,41.814346,-87.621346,2
JK202569,41.777237,-87.69255,3
JK185829,41.90662,-87.754654,0
JK143649,41.879032,-87.63695,2
JK207482,41.908897,-87.71798,0
JK196768,41.73351,-87.56058,7
JK144203,41.88679,-87.7063,4
JK142210,41.777126,-87.650795,5
JK220944,41.73287,-87.61318,7
JK144772,41.92718,-87.64009,1
JK229043,41.892628,-87.63116,2
JK192597,41.88321,-87.629906,2
JK209110,41.960228,-87.78613,0
JK202129,41.895004,-87.62153,2
JK200366,41.80866,-87.66097,3
JK152100,41.76636,-87.65779,5
JK180973,41.748848,-87.600266,7
JK204594,41.747597,-87.56252,7
JK230335,41.978992,-87.65994,1
JK156606,41.954884,-87.66907,1
JK161637,41.777863,-87.601616,5
JK164979,41.896103,-87.62819,2
JK199112,41.74568,-87.55885,7
JK200556,41.734035,-87.65855,6
JK214051,41.878124,-87.63321,2
JK233758,41.77781,-87.59301,7
JK202985,41.841896,-87.66337,2
JK219642,41.88061,-87.70296,4
JK224368,41.673553,-87.61641,6
JK202121,41.806892,-87.62439,5
JK192350,41.69064,-87.60516,6
JK177873,41.723885,-87.63029,6
JK193451,41.87454,-87.76161,0
JK142985,41.880985,-87.76815,0
JK183856,41.7781,-87.63383,5
JK157807,41.894333,-87.71384,0
JK201287,41.825794,-87.60075,2
JK221531,41.975517,-87.72957,1
JK158975,41.91597,-87.67594,1
JK153309,41.895653,-87.697014,4
JK218340,41.766,-87.663826,5
JK212972,41.793407,-87.58488,5
JK157168,41.94032,-87.64441,1
JK162337,41.92627,-87.6409,1
JK164877,41.89212,-87.68584,4
JK216774,41.880993,-87.70428,4
JK178811,41.884857,-87.76334,0
JK235075,41.844505,-87.705864,4
JK174746,41.823906,-87.61144,2
JK197884,41.774387,-87.63734,5
JK200701,41.89068,-87.68566,4
JK183589,41.775158,-87.58818,7
JK225515,41.779617,-87.65377,5
JK228059,41.87425,-87.62921,2
JK208628,41.793724,-87.77532,3
