tSNE1,tSNE2
-16.481152,2.2278323
51.238686,5.7692637
5.8246965,61.250275
9.660971,-62.38661
1.9707084,43.820004
-11.186344,1.2462641
72.12128,9.078256
79.16754,-10.287854
-9.398238,32.924126
51.364265,-38.558018
-0.8622845,60.707798
-58.138535,-3.971003
6.2405353,12.433977
4.1611156,47.926777
-17.390745,-26.571928
-23.742334,-59.40693
10.055203,39.459126
-15.89942,39.9028
-0.06549734,53.10653
-65.99899,5.3244514
-11.900842,18.670424
20.834105,-15.128974
-8.784409,48.938625
3.9003305,35.980724
-15.948993,-13.807448
10.504034,-8.924629
-8.218191,-26.616087
66.45647,-10.241802
16.466139,64.49743
23.615438,12.75488
-61.215473,0.9078043
29.713268,9.312065
-49.350586,27.311914
-65.499374,20.2399
0.0058954554,45.281048
-43.55359,-47.63294
-59.940105,2.1527452
3.592207,76.2706
-36.149456,-42.11731
-18.100754,-51.606827
-13.571571,-10.510628
-50.395336,28.80914
-39.80685,-9.005654
-58.03709,-6.0324636
-52.652313,13.7742815
-19.039738,32.684113
-40.2953,23.285408
75.4577,-13.66332
49.00167,7.244574
12.120612,-5.6257277
6.4856815,63.385094
18.77398,50.965107
-61.641144,-2.7137787
41.17301,20.111137
71.38313,-9.124809
-38.823563,24.592178
27.361406,26.922836
36.241234,-19.712997
-32.249702,8.333062
53.9588,-40.21839
13.688658,-61.04068
14.51017,-34.84154
-33.464855,-46.32563
11.172239,51.192726
-37.61575,-42.923264
18.502537,-64.159904
39.30686,-13.607792
54.118248,-40.379345
-30.289701,-36.832317
-15.562473,35.84096
-44.805614,-48.628407
11.461639,63.841717
-44.146866,-9.067698
27.701721,-25.632435
-69.853,-2.1404586
38.402897,-16.433956
-11.435192,-55.000053
38.411057,28.066645
-29.976229,-50.597816
36.484516,40.73574
-53.932785,-10.650182
20.781584,13.281467
71.36531,9.575206
-5.979352,-18.521336
63.33386,-48.715733
-66.89967,16.765553
51.889957,-53.47182
55.143864,-49.868355
12.723585,-54.765095
-65.417046,17.158636
-59.85886,2.1474752
-2.4532068,55.174564
-10.352895,47.598156
-70.47574,-4.3012056
2.7334075,63.6345
8.6075535,70.67193
-17.737541,58.876667
-58.207745,21.327448
28.055046,-31.726095
31.341944,-0.35611922
-13.552761,-46.161823
-43.15417,-47.320175
-4.3817525,-5.7179456
-29.43904,-33.521763
64.88372,1.180021
-14.564093,52.272167
-20.287508,-37.003956
20.815722,-26.502678
49.19115,-50.970993
-2.801724,-7.0799346
-8.005626,49.534203
23.279217,-12.385394
-1.8981414,-17.74228
10.18187,-53.581158
-72.721985,1.5042346
-5.0792975,-16.431417
19.223665,-25.493872
-65.53538,3.0507658
-6.0370965,-20.47765
-49.06581,11.434791
-1.896024,51.059643
7.5462966,0.17836282
-31.92316,-50.504642
58.201244,-46.362762
48.249397,-38.599457
-57.567665,15.089434
39.623478,-20.74747
14.664641,-8.975125
-7.07003,13.681128
21.34629,-51.29725
-16.537678,3.6570706
-51.915565,4.146973
0.05888051,46.84461
-8.363394,65.076904
-15.03228,55.35118
-14.693617,61.662888
-49.050793,12.642987
-10.013154,10.255512
68.81075,0.95007557
70.20928,-0.21289937
71.4246,4.128126
71.04544,-0.076156095
6.15491,-53.57759
5.979712,68.25927
-41.57731,30.611797
9.805326,0.8585754
1.2045667,-16.34944
-8.423531,73.723595
14.157915,65.00462
0.5686654,32.525135
11.805342,43.043663
-8.278628,68.8601
-7.4349427,-47.094418
15.4266205,63.79774
72.15465,9.846089
31.986284,-19.487972
-72.05149,0.17770056
-3.588832,42.82209
-30.725132,-29.850105
0.3806876,5.058221
15.553301,54.622852
5.3979197,38.571613
21.31294,-50.433475
0.07846254,-17.535444
31.84562,42.373917
-25.187214,52.190845
66.03905,7.771114
-19.499454,-47.273907
-46.029644,-6.4208302
1.1409421,16.18136
39.573025,22.056423
57.82403,-46.543774
23.572104,11.1560335
50.241684,-43.451195
4.09397,52.697224
19.223017,58.01303
28.297628,-26.635754
76.05379,-5.9051313
-36.432793,9.129544
21.205982,-30.866776
23.987232,27.082762
45.22322,-4.8237495
-44.026768,26.581257
46.339756,-47.013824
40.216778,-17.011564
-11.250573,-6.5443907
-14.385853,17.844315
20.335796,-58.680294
-6.7335215,-46.530876
20.164707,-49.723423
-35.736244,-32.976624
-16.832289,-41.744785
36.476376,-14.000045
-43.67061,-3.8017344
16.91157,-36.978172
51.602943,5.354684
-25.828218,-27.154726
47.02225,34.366135
-34.832706,0.014913067
-58.807903,22.863306
-62.94216,-4.148753
-9.533091,47.81948
-1.7048774,-7.7775702
73.41404,-4.0502377
24.039614,-14.666706
25.8233,15.896985
51.174145,6.5128813
43.41141,43.21624
-34.284874,-39.590034
-47.86983,-3.858514
67.871025,4.1226635
-5.1845922,-16.263649
5.3432374,50.897312
19.908754,61.394627
-22.29132,0.45242354
-62.09983,-3.274775
-49.680695,0.6744484
-24.661324,-42.393
-20.683681,58.922405
26.317204,38.10842
38.8168,18.614351
9.509996,41.672707
-51.361153,28.851597
11.262907,72.5301
6.4023113,63.798927
-53.143604,31.284922
39.373055,24.856491
-2.0744762,35.371315
29.713379,22.896675
-73.92403,13.278276
47.920692,-0.17879128
0.21086714,8.176617
-34.914288,-31.071556
-30.501253,-48.43737
-42.78327,13.469407
0.7395739,51.79191
9.816376,47.581486
6.202698,18.695034
55.775227,-48.85958
2.0896711,75.252495
44.380634,37.16209
13.314898,-47.518238
-22.727968,-56.879288
62.082905,-50.500202
65.71133,-11.910745
42.55206,41.13706
-39.057182,-43.87871
25.10887,16.955647
-41.44353,17.952898
6.8716455,62.64684
-17.641718,47.750057
-68.40949,-4.705668
-8.047788,14.583178
-39.701717,-33.71875
58.970234,-33.829086
-55.410618,24.17902
9.61635,-60.883987
-5.1752954,-45.491943
25.451912,-63.162163
17.226276,-55.098824
22.096886,-47.933483
19.341463,0.1886497
-48.709534,-9.973928
28.668747,13.554211
3.8780017,20.37111
22.568878,-11.187618
-55.837597,-4.5157566
9.679933,70.88378
71.72859,3.3278134
-52.282288,28.312548
-38.540947,14.514573
32.76793,37.72782
18.635923,-35.79688
-6.0250616,-20.685678
44.279594,-4.3762217
63.102764,6.401493
-21.666523,43.016106
-6.958393,-46.372883
4.4150095,17.533545
-72.62895,3.1091049
-12.195216,11.411198
21.66151,-27.091463
76.74869,-4.3332043
-45.46427,6.3078938
4.524024,71.3039
69.907135,1.762181
-50.102726,17.417994
-27.46235,-29.395412
-21.842178,52.06248
-64.85259,-7.8739405
2.762554,35.677494
43.693607,42.343925
-15.4750395,-55.335224
10.698793,-56.90725
-11.963728,10.933202
24.250994,-10.481177
33.88971,-26.677462
33.23181,-14.9851885
37.204536,-29.243227
-23.17281,-3.8487995
-26.740229,-46.168343
28.961123,-31.680655
15.57371,63.743477
53.289894,10.336454
-19.959105,-1.8818614
19.587046,-12.793796
23.544985,-47.755
-25.887293,-32.202118
3.4947484,8.912421
51.36099,-52.03195
-38.590073,9.74546
42.348106,21.04161
-48.990406,26.562107
6.3686795,52.252922
-19.366999,-45.402443
-19.598827,-5.90974
77.33693,5.8523297
-48.87021,25.181688
16.57124,-65.031815
-19.740713,59.184036
